Date,Est. earnings (USD),Observed eCPM (USD),Requests,Match rate (%) (%),Matched requests,Show rate (%) (%),Impressions,CTR (%) (%),Clicks,Bid requests,Bids in auction (%),Bids in auction,Winning bids (%),Winning bids
2020-09-10,$0.00,0,21,0.00%,0,,0,,0,0,,0,,0
2020-09-11,$0.00,0,30,0.00%,0,,0,,0,0,,0,,0
2020-09-15,$0.00,0.25,10,100.00%,10,90.00%,9,0.00%,0,0,,0,,0
2020-12-18,$0.03,6.59,17,100.00%,17,29.41%,5,0.00%,0,0,,0,,0
2020-12-19,$0.22,22.34,56,100.00%,56,17.86%,10,0.00%,0,0,,0,,0
2020-12-20,$0.18,9.01,69,100.00%,69,28.99%,20,0.00%,0,0,,0,,0
2020-12-21,$0.43,7.92,131,100.00%,131,41.22%,54,1.85%,1,0,,0,,0
2020-12-22,$0.24,5.77,124,100.00%,124,33.06%,41,0.00%,0,0,,0,,0
2020-12-23,$0.27,17.94,158,100.00%,158,9.49%,15,6.67%,1,0,,0,,0
2020-12-24,$0.13,7.94,258,100.00%,258,6.59%,17,11.76%,2,0,,0,,0
2020-12-25,$0.09,4.57,208,100.00%,208,9.62%,20,0.00%,0,0,,0,,0
2020-12-26,$0.20,4.01,244,100.00%,244,20.90%,51,1.96%,1,0,,0,,0
2020-12-27,$0.24,5.88,283,100.00%,283,14.13%,40,15.00%,6,0,,0,,0
2020-12-28,$0.03,3.67,159,100.00%,159,5.03%,8,0.00%,0,0,,0,,0
2020-12-29,$0.02,2.12,152,100.00%,152,6.58%,10,10.00%,1,0,,0,,0
2020-12-30,$0.28,13.81,134,100.00%,134,14.93%,20,0.00%,0,0,,0,,0
2020-12-31,$0.06,2,134,100.00%,134,21.64%,29,0.00%,0,0,,0,,0
2021-01-01,$0.10,4.33,130,100.00%,130,18.46%,24,12.50%,3,0,,0,,0
2021-01-02,$0.06,2.93,137,100.00%,137,13.87%,19,0.00%,0,0,,0,,0
2021-01-03,$0.19,6.39,180,100.00%,180,16.67%,30,6.67%,2,0,,0,,0
2021-01-04,$0.36,11.36,148,100.00%,148,21.62%,32,6.25%,2,0,,0,,0
2021-01-05,$0.09,3.94,143,100.00%,143,16.08%,23,4.35%,1,0,,0,,0
2021-01-06,$0.13,6.46,132,100.00%,132,15.15%,20,10.00%,2,0,,0,,0
2021-01-07,$0.05,3.95,98,100.00%,98,13.27%,13,7.69%,1,0,,0,,0
2021-01-08,$0.51,7.8,323,100.00%,323,20.43%,66,13.64%,9,0,,0,,0
2021-01-09,$0.40,3.27,424,98.58%,418,29.43%,123,9.76%,12,0,,0,,0
2021-01-10,$0.61,4.57,451,100.00%,451,29.49%,133,6.77%,9,0,,0,,0
2021-01-11,$0.27,4.92,237,100.00%,237,22.78%,54,3.70%,2,0,,0,,0
2021-01-12,$0.27,4.84,237,100.00%,237,23.21%,55,16.36%,9,0,,0,,0
2021-01-13,$0.16,4.59,213,100.00%,213,16.43%,35,2.86%,1,0,,0,,0
2021-01-14,$0.11,4.61,215,100.00%,215,10.70%,23,13.04%,3,0,,0,,0
2021-01-15,$0.12,4.77,258,96.90%,250,10.40%,26,11.54%,3,0,,0,,0
2021-01-16,$0.26,6.15,273,99.27%,271,15.50%,42,42.86%,18,0,,0,,0
2021-01-17,$0.55,4.39,377,100.00%,377,33.42%,126,4.76%,6,0,,0,,0
2021-01-18,$0.14,5.56,283,100.00%,283,9.19%,26,38.46%,10,0,,0,,0
2021-01-19,$0.15,7.57,263,100.00%,263,7.60%,20,5.00%,1,0,,0,,0
2021-01-20,$0.12,3.97,299,100.00%,299,9.70%,29,24.14%,7,0,,0,,0
2021-01-21,$0.14,8.8,231,100.00%,231,6.93%,16,43.75%,7,0,,0,,0
2021-01-22,$0.05,2.89,264,100.00%,264,7.20%,19,10.53%,2,0,,0,,0
2021-01-23,$0.18,4.24,258,99.61%,257,16.34%,42,16.67%,7,0,,0,,0
2021-01-24,$0.13,5.87,266,100.00%,266,8.27%,22,0.00%,0,0,,0,,0
2021-01-25,$0.19,7.82,269,100.00%,269,8.92%,24,54.17%,13,0,,0,,0
